title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4621,All Hail Lady Blanche!,ROMANTIC_FANTASY,"SJK (SOYMEDIA),Eun Na-mok",FRIDAY,5,59614,9.56,384627,39321,ONGOING,False,"Blanche, seorang putri kerajaan yang ""berbeda"" terjebak dalam keluarga yang menggunakannya demi nama baik dan kepentingan mereka. Ingin membalikkan keadaan, apa yang akan Blanche lakukan?"
4620,How to Place My Dog on the Throne,ROMANTIC_FANTASY,"salted man,Marucomics",TUESDAY,5,84996,9.54,741412,63375,ONGOING,False,"Im Bobae 'pindah dunia' usai menyelamatkan anjing peliharaannya, Deoksun dari hantaman truk. Tak hanya dunianya yang berubah, ia pun berubah wujud menjadi Beatrice Giuseppe alias Trixie. Hidup Im Bobae sebagai Trixie penuh dengan penderitaan hingga suatu hari ia mendapat kesempatan untuk mengubah nasibnya. Di saat yang sama, ia dipertemukan kembali dengan... Deoksun?"
4619,"Her Highness, the Wildflower",ROMANTIC_FANTASY,"Moonto,Manju,Hanboyeon",SUNDAY,6,119724,9.68,1119774,103377,ONGOING,False,"Melody Corbella dikenal sebagai 'putri gila' di Kerajaan Corbella. Tak hanya penampilannya, tingkah lakunya yang memicu keributan di istana pun tak mencerminkan seorang tuan putri. Namun, ternyata Melody menyimpan rencana tersembunyi di balik semua tingkah gilanya... Apa itu?"
4618,Kill the Dragon,ACTION,"J-Sun(REDICE STUDIO),Miss Jisu,Baeksu Noble",SATURDAY,6,50970,9.72,367836,27988,ONGOING,False,"""Bertahan hiduplah sekuat tenaga.""

Umat manusia mendapat deklarasi kehancuran dari penyerang 'Dragon'. Di dunia yang mulai runtuh ini, seorang yatim piatu perang bernama Lee Han, dilatih menjadi 'Psyker' untuk melindungi manusia!"
4617,The Queen of Kisses,ROMANCE,"youngyoung2,Jake Lee",THURSDAY,6,85021,9.6,866666,58491,ONGOING,False,"Di hari pertama sebagai suami-istri, suaminya menghilang dan dia ditemukan terombang-ambing di tengah lautan. Setelah diselamatkan, dia pun kini menjadi tersangka kasus pembunuhan suaminya. Tiba-tiba, seorang dari masa lalu yang tidak ingin dia temui lagi bersedia membantunya untuk mencari fakta sesungguhnya dari kasus ini. Benarkah dia membunuh suaminya sendiri? Atau dia hanya dijadikan kambing hitam dari kasus yang lebih besar? "
4616,Soul of the Wind,ACTION,"WOLIN,SEO HYEON-JIN",WEDNESDAY,6,24753,9.43,204334,13498,ONGOING,False,"Eun Geomho, seorang pendekar, menjadi satu-satunya yang berhasil lolos dari pasukan Istana Darah dan menyelesaikan misi. Ia beruntung bisa selamat kali ini, tapi tak ada yang mengetahui takdirnya di misi selanjutnya. Sekutu hari ini mungkin saja menjadi musuh di esok hari. Demi meningkatkan kemampuannya, ia akhirnya memutuskan untuk berkelana sendiri dan menguak rahasia-rahasia seni bela diri."
4615,Jangan Scroll,HORROR,Various Artists,"MONDAY,SATURDAY,SUNDAY",13,176213,9.82,5454733,452132,ONGOING,False,Sanatorium janggal. Paranormal mencurigakan. Hantu-hantu gentayangan. Kumpulan cerita horror pendek dari berbagai author ini memuat beragam kisah seram. Scroll ke bawah jika kamu berani! 
4553,Playing Hard to Get,ROMANCE,"yosin,jinsun,chunzihye",SUNDAY,3,70732,9.09,923921,60563,ONGOING,True,"Lee Seah adalah seorang wedding planner yang selalu diremehkan oleh timnya. Setelah terpaksa menggantikan pengantin mantan pacarnya, Ia malah bertemu dengan Jihyeok, konglomerat yang mempunyai reputasi menarik-ulur wanita. Apa yang terjadi di saat kala Jihyeok jatuh cinta terhadap Seah pada pandangan pertama?"
4552,My Sweet Sunshine,ROMANCE,KRUC,FRIDAY,7,37464,9.42,295068,40720,ONGOING,False,"Icha siswi pintar dan populer, namun punya sisi kekanakan, yakni sangat terobsesi untuk merasakan cinta pertama seperti yang ada di novel yang dia baca. Sayangnya, meski sudah beberapa kali pacaran, dia masih belum bisa merasakan “Getaran Cinta”

Mampukah Icha menemukan ""Getaran Cinta"" yang didamba-dambakannya?"
4551,Born as the Second Daughter,ROMANTIC_FANTASY,"New pangpang,Yong Wonchang",THURSDAY,7,114670,9.8,1130387,122754,ONGOING,False,"Aku lahir sebagai putri pertama dan meninggal pada usia 5 tahun, kemudian aku terlahir dari dari ibuku untuk kedua kalinya. Tapi di kehidupan kedua, ibuku meninggal.  Setelah mengambil selembar kertas yang berisi mantra oleh ibuku, aku bertemu dengan seorang pria berambut merah muda. Dia mengaku dia adalah ayahku? Bahkan kaisar? Dan juga memiliki tiga kakak laki-laki? Ibu… Apakah aku bisa hidup dengan keluarga baru?"
